0,0,1
(3*Sqrt[23]*Cos[Pi/16])/16,(3*Sqrt[23]*Sin[Pi/16])/16,-7/16
(3*Sqrt[7]*Cos[Pi/8])/8,(3*Sqrt[7]*Sin[Pi/8])/8,1/8
(3*Sqrt[15]*Cos[(3*Pi)/16])/16,(3*Sqrt[15]*Sin[(3*Pi)/16])/16,11/16
Sqrt[7/2]/4,Sqrt[7/2]/4,-3/4
(Sqrt[247]*Sin[(3*Pi)/16])/16,(Sqrt[247]*Cos[(3*Pi)/16])/16,-3/16
(Sqrt[55]*Sin[Pi/8])/8,(Sqrt[55]*Cos[Pi/8])/8,3/8
(Sqrt[31]*Sin[Pi/16])/16,(Sqrt[31]*Cos[Pi/16])/16,15/16
0,Sqrt[3]/2,-1/2
-(Sqrt[255]*Sin[Pi/16])/16,(Sqrt[255]*Cos[Pi/16])/16,1/16
-(Sqrt[39]*Sin[Pi/8])/8,(Sqrt[39]*Cos[Pi/8])/8,5/8
-(Sqrt[87]*Sin[(3*Pi)/16])/16,(Sqrt[87]*Cos[(3*Pi)/16])/16,-13/16
-Sqrt[15/2]/4,Sqrt[15/2]/4,-1/4
-(Sqrt[231]*Cos[(3*Pi)/16])/16,(Sqrt[231]*Sin[(3*Pi)/16])/16,5/16
-(Sqrt[15]*Cos[Pi/8])/8,(Sqrt[15]*Sin[Pi/8])/8,7/8
(-5*Sqrt[7]*Cos[Pi/16])/16,(5*Sqrt[7]*Sin[Pi/16])/16,-9/16
-1,0,0
(-5*Sqrt[7]*Cos[Pi/16])/16,(-5*Sqrt[7]*Sin[Pi/16])/16,9/16
-(Sqrt[15]*Cos[Pi/8])/8,-(Sqrt[15]*Sin[Pi/8])/8,-7/8
-(Sqrt[231]*Cos[(3*Pi)/16])/16,-(Sqrt[231]*Sin[(3*Pi)/16])/16,-5/16
-Sqrt[15/2]/4,-Sqrt[15/2]/4,1/4
-(Sqrt[87]*Sin[(3*Pi)/16])/16,-(Sqrt[87]*Cos[(3*Pi)/16])/16,13/16
-(Sqrt[39]*Sin[Pi/8])/8,-(Sqrt[39]*Cos[Pi/8])/8,-5/8
-(Sqrt[255]*Sin[Pi/16])/16,-(Sqrt[255]*Cos[Pi/16])/16,-1/16
0,-Sqrt[3]/2,1/2
(Sqrt[31]*Sin[Pi/16])/16,-(Sqrt[31]*Cos[Pi/16])/16,-15/16
(Sqrt[55]*Sin[Pi/8])/8,-(Sqrt[55]*Cos[Pi/8])/8,-3/8
(Sqrt[247]*Sin[(3*Pi)/16])/16,-(Sqrt[247]*Cos[(3*Pi)/16])/16,3/16
Sqrt[7/2]/4,-Sqrt[7/2]/4,3/4
(3*Sqrt[15]*Cos[(3*Pi)/16])/16,(-3*Sqrt[15]*Sin[(3*Pi)/16])/16,-11/16
(3*Sqrt[7]*Cos[Pi/8])/8,(-3*Sqrt[7]*Sin[Pi/8])/8,-1/8
(3*Sqrt[23]*Cos[Pi/16])/16,(-3*Sqrt[23]*Sin[Pi/16])/16,7/16
