0,0,1
(2*Sqrt[202758]*Cos[(2*Pi)/1001])/1001,(2*Sqrt[202758]*Sin[(2*Pi)/1001])/1001,-437/1001
(4*Sqrt[61617]*Cos[(4*Pi)/1001])/1001,(4*Sqrt[61617]*Sin[(4*Pi)/1001])/1001,127/1001
(6*Sqrt[14570]*Cos[(6*Pi)/1001])/1001,(6*Sqrt[14570]*Sin[(6*Pi)/1001])/1001,691/1001
(2*Sqrt[110998]*Cos[(8*Pi)/1001])/1001,(2*Sqrt[110998]*Sin[(8*Pi)/1001])/1001,-747/1001
(8*Sqrt[15133]*Cos[(10*Pi)/1001])/1001,(8*Sqrt[15133]*Sin[(10*Pi)/1001])/1001,-183/1001
(2*Sqrt[214210]*Cos[(12*Pi)/1001])/1001,(2*Sqrt[214210]*Sin[(12*Pi)/1001])/1001,381/1001
(4*Sqrt[139]*Cos[(2*Pi)/143])/143,(4*Sqrt[139]*Sin[(2*Pi)/143])/143,135/143
(6*Sqrt[21082]*Cos[(16*Pi)/1001])/1001,(6*Sqrt[21082]*Sin[(16*Pi)/1001])/1001,-493/1001
(4*Sqrt[62310]*Cos[(18*Pi)/1001])/1001,(4*Sqrt[62310]*Sin[(18*Pi)/1001])/1001,71/1001
(2*Sqrt[149694]*Cos[(20*Pi)/1001])/1001,(2*Sqrt[149694]*Sin[(20*Pi)/1001])/1001,635/1001
(6*Sqrt[82]*Cos[(2*Pi)/91])/91,(6*Sqrt[82]*Sin[(2*Pi)/91])/91,-73/91
(4*Sqrt[59055]*Cos[(24*Pi)/1001])/1001,(4*Sqrt[59055]*Sin[(24*Pi)/1001])/1001,-239/1001
(2*Sqrt[1326]*Cos[(2*Pi)/77])/77,(2*Sqrt[1326]*Sin[(2*Pi)/77])/77,25/77
(12*Sqrt[30]*Cos[(4*Pi)/143])/143,(12*Sqrt[30]*Sin[(4*Pi)/143])/143,127/143
(10*Sqrt[7006]*Cos[(30*Pi)/1001])/1001,(10*Sqrt[7006]*Sin[(30*Pi)/1001])/1001,-549/1001
(4*Sqrt[62611]*Cos[(32*Pi)/1001])/1001,(4*Sqrt[62611]*Sin[(32*Pi)/1001])/1001,15/1001
(2*Sqrt[166690]*Cos[(34*Pi)/1001])/1001,(2*Sqrt[166690]*Sin[(34*Pi)/1001])/1001,579/1001
(2*Sqrt[66030]*Cos[(36*Pi)/1001])/1001,(2*Sqrt[66030]*Sin[(36*Pi)/1001])/1001,-859/1001
(36*Sqrt[706]*Cos[(38*Pi)/1001])/1001,(36*Sqrt[706]*Sin[(38*Pi)/1001])/1001,-295/1001
(2*Sqrt[232410]*Cos[(40*Pi)/1001])/1001,(2*Sqrt[232410]*Sin[(40*Pi)/1001])/1001,269/1001
(4*Sqrt[393]*Cos[(6*Pi)/143])/143,(4*Sqrt[393]*Sin[(6*Pi)/143])/143,119/143
(6*Sqrt[146]*Cos[(4*Pi)/91])/91,(6*Sqrt[146]*Sin[(4*Pi)/91])/91,-55/91
(8*Sqrt[15630]*Cos[(46*Pi)/1001])/1001,(8*Sqrt[15630]*Sin[(46*Pi)/1001])/1001,-41/1001
