0,0,1
(4*Sqrt[77]*Cos[(2*Pi)/39])/39,(4*Sqrt[77]*Sin[(2*Pi)/39])/39,-17/39
(2*Sqrt[374]*Cos[(4*Pi)/39])/39,(2*Sqrt[374]*Sin[(4*Pi)/39])/39,5/39
(2*Sqrt[22]*Cos[(2*Pi)/13])/13,(2*Sqrt[22]*Sin[(2*Pi)/13])/13,9/13
(2*Sqrt[170]*Cos[(8*Pi)/39])/39,(2*Sqrt[170]*Sin[(8*Pi)/39])/39,-29/39
(8*Sqrt[23]*Sin[(19*Pi)/78])/39,(8*Sqrt[23]*Cos[(19*Pi)/78])/39,-7/39
(12*Sin[(5*Pi)/26])/13,(12*Cos[(5*Pi)/26])/13,5/13
(2*Sqrt[38]*Sin[(11*Pi)/78])/39,(2*Sqrt[38]*Cos[(11*Pi)/78])/39,37/39
(2*Sqrt[290]*Sin[(7*Pi)/78])/39,(2*Sqrt[290]*Cos[(7*Pi)/78])/39,-19/39
(2*Sqrt[42]*Sin[Pi/26])/13,(2*Sqrt[42]*Cos[Pi/26])/13,1/13
(-8*Sqrt[14]*Sin[Pi/78])/39,(8*Sqrt[14]*Cos[Pi/78])/39,25/39
(-4*Sqrt[35]*Sin[(5*Pi)/78])/39,(4*Sqrt[35]*Cos[(5*Pi)/78])/39,-31/39
(-4*Sqrt[10]*Sin[(3*Pi)/26])/13,(4*Sqrt[10]*Cos[(3*Pi)/26])/13,-3/13
-Sqrt[2]/3,Sqrt[2/3],1/3
(-2*Sqrt[74]*Sin[(17*Pi)/78])/39,(2*Sqrt[74]*Cos[(17*Pi)/78])/39,35/39
(-2*Sqrt[30]*Cos[(3*Pi)/13])/13,(2*Sqrt[30]*Sin[(3*Pi)/13])/13,-7/13
(-4*Sqrt[95]*Cos[(7*Pi)/39])/39,(4*Sqrt[95]*Sin[(7*Pi)/39])/39,1/39
(-4*Sqrt[62]*Cos[(5*Pi)/39])/39,(4*Sqrt[62]*Sin[(5*Pi)/39])/39,23/39
(-4*Sqrt[3]*Cos[Pi/13])/13,(4*Sqrt[3]*Sin[Pi/13])/13,-11/13
(-10*Sqrt[14]*Cos[Pi/39])/39,(10*Sqrt[14]*Sin[Pi/39])/39,-11/39
(-10*Sqrt[14]*Cos[Pi/39])/39,(-10*Sqrt[14]*Sin[Pi/39])/39,11/39
(-4*Sqrt[3]*Cos[Pi/13])/13,(-4*Sqrt[3]*Sin[Pi/13])/13,11/13
(-4*Sqrt[62]*Cos[(5*Pi)/39])/39,(-4*Sqrt[62]*Sin[(5*Pi)/39])/39,-23/39
(-4*Sqrt[95]*Cos[(7*Pi)/39])/39,(-4*Sqrt[95]*Sin[(7*Pi)/39])/39,-1/39
(-2*Sqrt[30]*Cos[(3*Pi)/13])/13,(-2*Sqrt[30]*Sin[(3*Pi)/13])/13,7/13
(-2*Sqrt[74]*Sin[(17*Pi)/78])/39,(-2*Sqrt[74]*Cos[(17*Pi)/78])/39,-35/39
-Sqrt[2]/3,-Sqrt[2/3],-1/3
(-4*Sqrt[10]*Sin[(3*Pi)/26])/13,(-4*Sqrt[10]*Cos[(3*Pi)/26])/13,3/13
(-4*Sqrt[35]*Sin[(5*Pi)/78])/39,(-4*Sqrt[35]*Cos[(5*Pi)/78])/39,31/39
(-8*Sqrt[14]*Sin[Pi/78])/39,(-8*Sqrt[14]*Cos[Pi/78])/39,-25/39
(2*Sqrt[42]*Sin[Pi/26])/13,(-2*Sqrt[42]*Cos[Pi/26])/13,-1/13
(2*Sqrt[290]*Sin[(7*Pi)/78])/39,(-2*Sqrt[290]*Cos[(7*Pi)/78])/39,19/39
(2*Sqrt[38]*Sin[(11*Pi)/78])/39,(-2*Sqrt[38]*Cos[(11*Pi)/78])/39,-37/39
(12*Sin[(5*Pi)/26])/13,(-12*Cos[(5*Pi)/26])/13,-5/13
(8*Sqrt[23]*Sin[(19*Pi)/78])/39,(-8*Sqrt[23]*Cos[(19*Pi)/78])/39,7/39
(2*Sqrt[170]*Cos[(8*Pi)/39])/39,(-2*Sqrt[170]*Sin[(8*Pi)/39])/39,29/39
(2*Sqrt[22]*Cos[(2*Pi)/13])/13,(-2*Sqrt[22]*Sin[(2*Pi)/13])/13,-9/13
(2*Sqrt[374]*Cos[(4*Pi)/39])/39,(-2*Sqrt[374]*Sin[(4*Pi)/39])/39,-5/39
(4*Sqrt[77]*Cos[(2*Pi)/39])/39,(-4*Sqrt[77]*Sin[(2*Pi)/39])/39,17/39
