0,0,1
(2*Sqrt[43754]*Cos[(2*Pi)/465])/465,(2*Sqrt[43754]*Sin[(2*Pi)/465])/465,-203/465
(2*Sqrt[53186]*Cos[(4*Pi)/465])/465,(2*Sqrt[53186]*Sin[(4*Pi)/465])/465,59/465
(4*Sqrt[786]*Cos[(2*Pi)/155])/155,(4*Sqrt[786]*Sin[(2*Pi)/155])/155,107/155
(2*Sqrt[23954]*Cos[(8*Pi)/465])/465,(2*Sqrt[23954]*Sin[(8*Pi)/465])/465,-347/465
(2*Sqrt[2090]*Cos[(2*Pi)/93])/93,(2*Sqrt[2090]*Sin[(2*Pi)/93])/93,-17/93
(8*Sqrt[321]*Cos[(4*Pi)/155])/155,(8*Sqrt[321]*Sin[(4*Pi)/155])/155,59/155
(4*Sqrt[1469]*Cos[(14*Pi)/465])/465,(4*Sqrt[1469]*Sin[(14*Pi)/465])/465,439/465
(2*Sqrt[40946]*Cos[(16*Pi)/465])/465,(2*Sqrt[40946]*Sin[(16*Pi)/465])/465,-229/465
(12*Sqrt[166]*Cos[(6*Pi)/155])/155,(12*Sqrt[166]*Sin[(6*Pi)/155])/155,11/155
(4*Sqrt[323]*Cos[(4*Pi)/93])/93,(4*Sqrt[323]*Sin[(4*Pi)/93])/93,59/93
(2*Sqrt[19274]*Cos[(22*Pi)/465])/465,(2*Sqrt[19274]*Sin[(22*Pi)/465])/465,-373/465
(8*Sqrt[354]*Cos[(8*Pi)/155])/155,(8*Sqrt[354]*Sin[(8*Pi)/155])/155,-37/155
(4*Sqrt[12089]*Cos[(26*Pi)/465])/465,(4*Sqrt[12089]*Sin[(26*Pi)/465])/465,151/465
(2*Sqrt[11414]*Cos[(28*Pi)/465])/465,(2*Sqrt[11414]*Sin[(28*Pi)/465])/465,413/465
(4*Sqrt[42]*Cos[(2*Pi)/31])/31,(4*Sqrt[42]*Sin[(2*Pi)/31])/31,-17/31
(4*Sqrt[13511]*Cos[(32*Pi)/465])/465,(4*Sqrt[13511]*Sin[(32*Pi)/465])/465,7/465
(14*Sqrt[734]*Cos[(34*Pi)/465])/465,(14*Sqrt[734]*Sin[(34*Pi)/465])/465,269/465
(24*Sqrt[11]*Cos[(12*Pi)/155])/155,(24*Sqrt[11]*Sin[(12*Pi)/155])/155,-133/155
(4*Sqrt[12341]*Cos[(38*Pi)/465])/465,(4*Sqrt[12341]*Sin[(38*Pi)/465])/465,-137/465
(2*Sqrt[2006]*Cos[(8*Pi)/93])/93,(2*Sqrt[2006]*Sin[(8*Pi)/93])/93,25/93
(2*Sqrt[1846]*Cos[(14*Pi)/155])/155,(2*Sqrt[1846]*Sin[(14*Pi)/155])/155,129/155
(4*Sqrt[8579]*Cos[(44*Pi)/465])/465,(4*Sqrt[8579]*Sin[(44*Pi)/465])/465,-281/465
(22*Sqrt[446]*Cos[(46*Pi)/465])/465,(22*Sqrt[446]*Sin[(46*Pi)/465])/465,-19/465
(2*Sqrt[4366]*Cos[(16*Pi)/155])/155,(2*Sqrt[4366]*Sin[(16*Pi)/155])/155,81/155
(4*Sqrt[89]*Cos[(10*Pi)/93])/93,(4*Sqrt[89]*Sin[(10*Pi)/93])/93,-85/93
(2*Sqrt[47414]*Cos[(52*Pi)/465])/465,(2*Sqrt[47414]*Sin[(52*Pi)/465])/465,-163/465
(2*Sqrt[5734]*Cos[(18*Pi)/155])/155,(2*Sqrt[5734]*Sin[(18*Pi)/155])/155,33/155
(4*Sqrt[5369]*Cos[(56*Pi)/465])/465,(4*Sqrt[5369]*Sin[(56*Pi)/465])/465,361/465
(2*Sqrt[30494]*Cos[(58*Pi)/465])/465,(2*Sqrt[30494]*Sin[(58*Pi)/465])/465,-307/465
(2*Sqrt[238]*Cos[(4*Pi)/31])/31,(2*Sqrt[238]*Sin[(4*Pi)/31])/31,-3/31
(4*Sqrt[11]*Cos[(2*Pi)/15])/15,(4*Sqrt[11]*Sin[(2*Pi)/15])/15,7/15
(2*Sqrt[3206]*Cos[(64*Pi)/465])/465,(2*Sqrt[3206]*Sin[(64*Pi)/465])/465,-451/465
