0,0,1
(Sqrt[1189]*Cos[Pi/35])/35,(Sqrt[1189]*Sin[Pi/35])/35,6/35
(2*Sqrt[174]*Cos[(2*Pi)/35])/35,(2*Sqrt[174]*Sin[(2*Pi)/35])/35,-23/35
(Sqrt[901]*Cos[(3*Pi)/35])/35,(Sqrt[901]*Sin[(3*Pi)/35])/35,18/35
(4*Sqrt[69]*Cos[(4*Pi)/35])/35,(4*Sqrt[69]*Sin[(4*Pi)/35])/35,-11/35
(Sqrt[13]*Cos[Pi/7])/7,(Sqrt[13]*Sin[Pi/7])/7,6/7
(6*Sqrt[34]*Cos[(6*Pi)/35])/35,(6*Sqrt[34]*Sin[(6*Pi)/35])/35,1/35
(3*(1 + Sqrt[5]))/20,(3*Sqrt[5/8 - Sqrt[5]/8])/5,-4/5
(4*Sqrt[66]*Cos[(8*Pi)/35])/35,(4*Sqrt[66]*Sin[(8*Pi)/35])/35,13/35
(Sqrt[969]*Sin[(17*Pi)/70])/35,(Sqrt[969]*Cos[(17*Pi)/70])/35,-16/35
(2*Sqrt[6]*Sin[(3*Pi)/14])/7,(2*Sqrt[6]*Cos[(3*Pi)/14])/7,5/7
(Sqrt[1209]*Sin[(13*Pi)/70])/35,(Sqrt[1209]*Cos[(13*Pi)/70])/35,-4/35
(2*Sqrt[34]*Sin[(11*Pi)/70])/35,(2*Sqrt[34]*Cos[(11*Pi)/70])/35,-33/35
(3*Sqrt[129]*Sin[(9*Pi)/70])/35,(3*Sqrt[129]*Cos[(9*Pi)/70])/35,8/35
(-1 + Sqrt[5])/5,(4*Sqrt[5/8 + Sqrt[5]/8])/5,-3/5
(Sqrt[33]*Sin[Pi/14])/7,(Sqrt[33]*Cos[Pi/14])/7,4/7
(2*Sqrt[286]*Sin[(3*Pi)/70])/35,(2*Sqrt[286]*Cos[(3*Pi)/70])/35,-9/35
(Sqrt[201]*Sin[Pi/70])/35,(Sqrt[201]*Cos[Pi/70])/35,32/35
(-8*Sqrt[19]*Sin[Pi/70])/35,(8*Sqrt[19]*Cos[Pi/70])/35,3/35
(-3*Sqrt[61]*Sin[(3*Pi)/70])/35,(3*Sqrt[61]*Cos[(3*Pi)/70])/35,-26/35
(-2*Sqrt[10]*Sin[Pi/14])/7,(2*Sqrt[10]*Cos[Pi/14])/7,3/7
(Sqrt[21]*(1 - Sqrt[5]))/20,Sqrt[21*(5/8 + Sqrt[5]/8)]/5,-2/5
(-4*Sqrt[31]*Sin[(9*Pi)/70])/35,(4*Sqrt[31]*Cos[(9*Pi)/70])/35,27/35
-(Sqrt[1221]*Sin[(11*Pi)/70])/35,(Sqrt[1221]*Cos[(11*Pi)/70])/35,-2/35
(-2*Sqrt[66]*Sin[(13*Pi)/70])/35,(2*Sqrt[66]*Cos[(13*Pi)/70])/35,-31/35
(-3*Sqrt[5]*Sin[(3*Pi)/14])/7,(3*Sqrt[5]*Cos[(3*Pi)/14])/7,2/7
