0,0,1
(6*Sqrt[770]*Cos[(2*Pi)/169])/169,(6*Sqrt[770]*Sin[(2*Pi)/169])/169,29/169
(4*Sqrt[1015]*Cos[(4*Pi)/169])/169,(4*Sqrt[1015]*Sin[(4*Pi)/169])/169,-111/169
(16*Sqrt[82]*Cos[(6*Pi)/169])/169,(16*Sqrt[82]*Sin[(6*Pi)/169])/169,87/169
(2*Sqrt[6438]*Cos[(8*Pi)/169])/169,(2*Sqrt[6438]*Sin[(8*Pi)/169])/169,-53/169
(4*Sqrt[471]*Cos[(10*Pi)/169])/169,(4*Sqrt[471]*Sin[(10*Pi)/169])/169,145/169
(2*Sqrt[7134]*Cos[(12*Pi)/169])/169,(2*Sqrt[7134]*Sin[(12*Pi)/169])/169,5/169
(4*Sqrt[646]*Cos[(14*Pi)/169])/169,(4*Sqrt[646]*Sin[(14*Pi)/169])/169,-135/169
(4*Sqrt[1537]*Cos[(16*Pi)/169])/169,(4*Sqrt[1537]*Sin[(16*Pi)/169])/169,63/169
(2*Sqrt[5658]*Cos[(18*Pi)/169])/169,(2*Sqrt[5658]*Sin[(18*Pi)/169])/169,-77/169
(4*Sqrt[870]*Cos[(20*Pi)/169])/169,(4*Sqrt[870]*Sin[(20*Pi)/169])/169,121/169
(10*Sqrt[282]*Cos[(22*Pi)/169])/169,(10*Sqrt[282]*Sin[(22*Pi)/169])/169,-19/169
(4*Sqrt[205]*Cos[(24*Pi)/169])/169,(4*Sqrt[205]*Sin[(24*Pi)/169])/169,-159/169
(4*Sqrt[10]*Cos[(2*Pi)/13])/13,(4*Sqrt[10]*Sin[(2*Pi)/13])/13,3/13
(6*Sqrt[510]*Cos[(28*Pi)/169])/169,(6*Sqrt[510]*Sin[(28*Pi)/169])/169,-101/169
(12*Sqrt[133]*Cos[(30*Pi)/169])/169,(12*Sqrt[133]*Sin[(30*Pi)/169])/169,97/169
(6*Sqrt[742]*Cos[(32*Pi)/169])/169,(6*Sqrt[742]*Sin[(32*Pi)/169])/169,-43/169
(18*Sqrt[14]*Cos[(34*Pi)/169])/169,(18*Sqrt[14]*Sin[(34*Pi)/169])/169,155/169
(4*Sqrt[1771]*Cos[(36*Pi)/169])/169,(4*Sqrt[1771]*Sin[(36*Pi)/169])/169,15/169
(14*Sqrt[66]*Cos[(38*Pi)/169])/169,(14*Sqrt[66]*Sin[(38*Pi)/169])/169,-125/169
(88*Sqrt[3]*Cos[(40*Pi)/169])/169,(88*Sqrt[3]*Sin[(40*Pi)/169])/169,73/169
(2*Sqrt[6018]*Cos[(42*Pi)/169])/169,(2*Sqrt[6018]*Sin[(42*Pi)/169])/169,-67/169
(10*Sqrt[114]*Sin[(81*Pi)/338])/169,(10*Sqrt[114]*Cos[(81*Pi)/338])/169,131/169
(8*Sqrt[445]*Sin[(77*Pi)/338])/169,(8*Sqrt[445]*Cos[(77*Pi)/338])/169,-9/169
(2*Sqrt[1590]*Sin[(73*Pi)/338])/169,(2*Sqrt[1590]*Cos[(73*Pi)/338])/169,-149/169
