0,0,1
(4*Sqrt[58854]*Cos[(2*Pi)/985])/985,(4*Sqrt[58854]*Sin[(2*Pi)/985])/985,169/985
(104*Sqrt[51]*Cos[(4*Pi)/985])/985,(104*Sqrt[51]*Sin[(4*Pi)/985])/985,-647/985
(2*Sqrt[178294]*Cos[(6*Pi)/985])/985,(2*Sqrt[178294]*Sin[(6*Pi)/985])/985,507/985
(26*Sqrt[1294]*Cos[(8*Pi)/985])/985,(26*Sqrt[1294]*Sin[(8*Pi)/985])/985,-309/985
(2*Sqrt[2562]*Cos[(2*Pi)/197])/197,(2*Sqrt[2562]*Sin[(2*Pi)/197])/197,169/197
(26*Sqrt[1434]*Cos[(12*Pi)/985])/985,(26*Sqrt[1434]*Sin[(12*Pi)/985])/985,29/985
(6*Sqrt[9746]*Cos[(14*Pi)/985])/985,(6*Sqrt[9746]*Sin[(14*Pi)/985])/985,-787/985
(52*Sqrt[309]*Cos[(16*Pi)/985])/985,(52*Sqrt[309]*Sin[(16*Pi)/985])/985,367/985
(4*Sqrt[48039]*Cos[(18*Pi)/985])/985,(4*Sqrt[48039]*Sin[(18*Pi)/985])/985,-449/985
(52*Sqrt[7]*Cos[(4*Pi)/197])/197,(52*Sqrt[7]*Sin[(4*Pi)/197])/197,141/197
(4*Sqrt[59869]*Cos[(22*Pi)/985])/985,(4*Sqrt[59869]*Sin[(22*Pi)/985])/985,-111/985
(4*Sqrt[6931]*Cos[(24*Pi)/985])/985,(4*Sqrt[6931]*Sin[(24*Pi)/985])/985,-927/985
(2*Sqrt[229674]*Cos[(26*Pi)/985])/985,(2*Sqrt[229674]*Sin[(26*Pi)/985])/985,227/985
(6*Sqrt[17314]*Cos[(28*Pi)/985])/985,(6*Sqrt[17314]*Sin[(28*Pi)/985])/985,-589/985
(2*Sqrt[6510]*Cos[(6*Pi)/197])/197,(2*Sqrt[6510]*Sin[(6*Pi)/197])/197,113/197
(2*Sqrt[226806]*Cos[(32*Pi)/985])/985,(2*Sqrt[226806]*Sin[(32*Pi)/985])/985,-251/985
(8*Sqrt[2419]*Cos[(34*Pi)/985])/985,(8*Sqrt[2419]*Sin[(34*Pi)/985])/985,903/985
(4*Sqrt[60166]*Cos[(36*Pi)/985])/985,(4*Sqrt[60166]*Sin[(36*Pi)/985])/985,87/985
(16*Sqrt[1714]*Cos[(38*Pi)/985])/985,(16*Sqrt[1714]*Sin[(38*Pi)/985])/985,-729/985
(4*Sqrt[1974]*Cos[(8*Pi)/197])/197,(4*Sqrt[1974]*Sin[(8*Pi)/197])/197,85/197
(24*Sqrt[1419]*Cos[(42*Pi)/985])/985,(24*Sqrt[1419]*Sin[(42*Pi)/985])/985,-391/985
(2*Sqrt[97014]*Cos[(44*Pi)/985])/985,(2*Sqrt[97014]*Sin[(44*Pi)/985])/985,763/985
(2*Sqrt[241854]*Cos[(46*Pi)/985])/985,(2*Sqrt[241854]*Sin[(46*Pi)/985])/985,-53/985
(6*Sqrt[5974]*Cos[(48*Pi)/985])/985,(6*Sqrt[5974]*Sin[(48*Pi)/985])/985,-869/985
(2*Sqrt[8890]*Cos[(10*Pi)/197])/197,(2*Sqrt[8890]*Sin[(10*Pi)/197])/197,57/197
(2*Sqrt[172066]*Cos[(52*Pi)/985])/985,(2*Sqrt[172066]*Sin[(52*Pi)/985])/985,-531/985
(4*Sqrt[36381]*Cos[(54*Pi)/985])/985,(4*Sqrt[36381]*Sin[(54*Pi)/985])/985,623/985
(12*Sqrt[6479]*Cos[(56*Pi)/985])/985,(12*Sqrt[6479]*Sin[(56*Pi)/985])/985,-193/985
(4*Sqrt[2919]*Cos[(58*Pi)/985])/985,(4*Sqrt[2919]*Sin[(58*Pi)/985])/985,961/985
(4*Sqrt[2373]*Cos[(12*Pi)/197])/197,(4*Sqrt[2373]*Sin[(12*Pi)/197])/197,29/197
(12*Sqrt[3611]*Cos[(62*Pi)/985])/985,(12*Sqrt[3611]*Sin[(62*Pi)/985])/985,-671/985
(2*Sqrt[184234]*Cos[(64*Pi)/985])/985,(2*Sqrt[184234]*Sin[(64*Pi)/985])/985,483/985
