0,0,1
(13*Sqrt[239]*Cos[Pi/204])/204,(13*Sqrt[239]*Sin[Pi/204])/204,35/204
(13*Sqrt[35]*Cos[Pi/102])/102,(13*Sqrt[35]*Sin[Pi/102])/102,-67/102
(Sqrt[3399]*Cos[Pi/68])/68,(Sqrt[3399]*Sin[Pi/68])/68,35/68
(Sqrt[2345]*Cos[Pi/51])/51,(Sqrt[2345]*Sin[Pi/51])/51,-16/51
(Sqrt[10991]*Cos[(5*Pi)/204])/204,(Sqrt[10991]*Sin[(5*Pi)/204])/204,175/204
(Sqrt[1155]*Cos[Pi/34])/34,(Sqrt[1155]*Sin[Pi/34])/34,1/34
(Sqrt[15047]*Cos[(7*Pi)/204])/204,(Sqrt[15047]*Sin[(7*Pi)/204])/204,-163/204
(8*Sqrt[35]*Cos[(2*Pi)/51])/51,(8*Sqrt[35]*Sin[(2*Pi)/51])/51,19/51
(3*Sqrt[407]*Cos[(3*Pi)/68])/68,(3*Sqrt[407]*Sin[(3*Pi)/68])/68,-31/68
(5*Sqrt[203]*Cos[(5*Pi)/102])/102,(5*Sqrt[203]*Sin[(5*Pi)/102])/102,73/102
(Sqrt[41087]*Cos[(11*Pi)/204])/204,(Sqrt[41087]*Sin[(11*Pi)/204])/204,-23/204
(Sqrt[33]*Cos[Pi/17])/17,(Sqrt[33]*Sin[Pi/17])/17,-16/17
(Sqrt[39407]*Cos[(13*Pi)/204])/204,(Sqrt[39407]*Sin[(13*Pi)/204])/204,47/204
(Sqrt[6683]*Cos[(7*Pi)/102])/102,(Sqrt[6683]*Sin[(7*Pi)/102])/102,-61/102
(Sqrt[3103]*Cos[(5*Pi)/68])/68,(Sqrt[3103]*Sin[(5*Pi)/68])/68,39/68
(8*Sqrt[38]*Cos[(4*Pi)/51])/51,(8*Sqrt[38]*Sin[(4*Pi)/51])/51,-13/51
(Sqrt[23/2]*(1 + Sqrt[3]))/24,(Sqrt[23/2]*(-1 + Sqrt[3]))/24,11/12
(Sqrt[1147]*Cos[(3*Pi)/34])/34,(Sqrt[1147]*Sin[(3*Pi)/34])/34,3/34
(Sqrt[18815]*Cos[(19*Pi)/204])/204,(Sqrt[18815]*Sin[(19*Pi)/204])/204,-151/204
(Sqrt[2117]*Cos[(5*Pi)/51])/51,(Sqrt[2117]*Sin[(5*Pi)/51])/51,22/51
(Sqrt[3895]*Cos[(7*Pi)/68])/68,(Sqrt[3895]*Sin[(7*Pi)/68])/68,-27/68
(Sqrt[4163]*Cos[(11*Pi)/102])/102,(Sqrt[4163]*Sin[(11*Pi)/102])/102,79/102
(Sqrt[41495]*Cos[(23*Pi)/204])/204,(Sqrt[41495]*Sin[(23*Pi)/204])/204,-11/204
(8*Cos[(2*Pi)/17])/17,(8*Sin[(2*Pi)/17])/17,-15/17
(Sqrt[38135]*Cos[(25*Pi)/204])/204,(Sqrt[38135]*Sin[(25*Pi)/204])/204,59/204
(Sqrt[7379]*Cos[(13*Pi)/102])/102,(Sqrt[7379]*Sin[(13*Pi)/102])/102,-55/102
(5*Sqrt[111]*Cos[(9*Pi)/68])/68,(5*Sqrt[111]*Sin[(9*Pi)/68])/68,43/68
(Sqrt[2501]*Cos[(7*Pi)/51])/51,(Sqrt[2501]*Sin[(7*Pi)/51])/51,-10/51
